pose_x,pose_y,pose_z,orientation_x,orientation_y,orientation_z,orientation_w,steering_tire_angle,steering_tire_rotation_rate,acceleration,speed,jerk
3.080509,-0.689473,0.0,0.0,0.0,0.044658,0.999002,-0.041084,0.0,0.596105,5.982908,0.0
3.183399,-0.681549,0.0,0.0,0.0,0.041327,0.999146,-0.041084,0.0,0.596105,5.982908,0.0
3.214468,-0.678613,0.0,0.0,0.0,0.040744,0.99917,-0.041084,0.0,0.596168,5.982907,0.0
3.26627,-0.674363,0.0,0.0,0.0,0.038208,0.99927,-0.041426,0.0,0.593842,5.996719,0.0
3.314117,-0.670095,0.0,0.0,0.0,0.036981,0.999316,-0.046302,0.0,0.595936,6.022962,0.0
3.314117,-0.670095,0.0,0.0,0.0,0.036981,0.999316,-0.046302,0.0,0.596076,6.022962,0.0
3.381109,-0.663319,0.0,0.0,0.0,0.033143,0.999451,-0.046302,0.0,0.596076,6.022962,0.0
3.410232,-0.660879,0.0,0.0,0.0,0.032217,0.999481,-0.046302,0.0,0.596076,6.022962,0.0
3.413759,-0.660583,0.0,0.0,0.0,0.032105,0.999485,-0.04809,0.0,0.596525,6.039529,0.0
3.463407,-0.659731,0.0,0.0,0.0,0.029642,0.999561,-0.050371,0.0,0.596737,6.053456,0.0
3.463407,-0.659731,0.0,0.0,0.0,0.029642,0.999561,-0.050371,0.0,0.596737,6.053456,0.0
3.48374,-0.658194,0.0,0.0,0.0,0.028882,0.999583,-0.050371,0.0,0.596737,6.053456,0.0
3.514462,-0.655872,0.0,0.0,0.0,0.027732,0.999615,-0.050371,0.0,0.596737,6.053456,0.0
3.542447,-0.654924,0.0,0.0,0.0,0.025683,0.99967,-0.047893,0.0,0.596065,6.064585,0.0
3.582223,-0.652217,0.0,0.0,0.0,0.024039,0.999711,-0.048824,0.0,0.597088,6.075185,0.0
3.611408,-0.650231,0.0,0.0,0.0,0.022834,0.999739,-0.048824,0.0,0.597088,6.075185,0.0
3.653918,-0.649504,0.0,0.0,0.0,0.02059,0.999788,-0.047146,0.0,0.597478,6.095161,0.0
3.672167,-0.648435,0.0,0.0,0.0,0.019777,0.999804,-0.047146,0.0,0.597478,6.095161,0.0
3.693749,-0.64717,0.0,0.0,0.0,0.018816,0.999823,-0.047146,0.0,0.597478,6.095161,0.0
3.717644,-0.645769,0.0,0.0,0.0,0.017752,0.999842,-0.044698,0.0,0.596964,6.10386,0.0
3.755692,-0.643832,0.0,0.0,0.0,0.015632,0.999878,-0.044698,0.0,0.596964,6.10386,0.0
3.776091,-0.642829,0.0,0.0,0.0,0.014684,0.999892,-0.044187,0.0,0.596426,6.116875,0.0
3.802257,-0.641543,0.0,0.0,0.0,0.013468,0.999909,-0.044187,0.0,0.596426,6.116875,0.0
3.828648,-0.640246,0.0,0.0,0.0,0.012242,0.999925,-0.044187,0.0,0.596426,6.116875,0.0
3.883521,-0.638205,0.0,0.0,0.0,0.009583,0.999954,-0.041541,0.0,0.597236,6.139317,0.0
3.90972,-0.637194,0.0,0.0,0.0,0.008346,0.999965,-0.041541,0.0,0.597236,6.139317,0.0
4.013454,-0.630439,0.0,0.0,0.0,0.003891,0.999992,-0.038912,0.0,0.597629,6.155619,0.0
4.044427,-0.629563,0.0,0.0,0.0,0.002466,0.999997,-0.039629,0.0,0.596326,6.168926,0.0
4.055538,-0.629249,0.0,0.0,0.0,0.001955,0.999998,-0.039629,0.0,0.596326,6.168926,0.0
4.11092,-0.629554,0.0,0.0,0.0,0.000323,1.0,-0.037053,0.0,0.596928,6.182206,0.0
4.130544,-0.6292,0.0,0.0,0.0,-0.000537,1.0,-0.037053,0.0,0.596928,6.182206,0.0
4.241579,-0.628821,0.0,0.0,0.0,-0.00439,0.99999,-0.032854,0.0,0.597803,6.198994,0.0
4.274726,-0.628526,0.0,0.0,0.0,-0.005736,0.999984,-0.032309,0.0,0.596077,6.199032,0.0
4.280372,-0.628476,0.0,0.0,0.0,-0.005965,0.999982,-0.032309,0.0,0.596077,6.199032,0.0
4.334467,-0.626993,0.0,0.0,0.0,-0.007491,0.999972,-0.025557,0.0,0.597533,6.226752,0.0
4.352418,-0.626984,0.0,0.0,0.0,-0.008166,0.999967,-0.025557,0.0,0.597533,6.226752,0.0
4.400685,-0.626959,0.0,0.0,0.0,-0.009979,0.99995,-0.025557,0.0,0.597533,6.226752,0.0
4.427875,-0.626408,0.0,0.0,0.0,-0.010235,0.999948,-0.022754,0.0,0.59648,6.241693,0.0
4.473123,-0.626765,0.0,0.0,0.0,-0.011813,0.99993,-0.022754,0.0,0.59648,6.241693,0.0
4.473123,-0.626765,0.0,0.0,0.0,-0.011813,0.99993,-0.020166,0.0,0.594392,6.255936,0.0
4.567617,-0.626241,0.0,0.0,0.0,-0.014401,0.999896,-0.020166,0.0,0.594392,6.255936,0.0
4.587024,-0.626544,0.0,0.0,0.0,-0.015014,0.999887,-0.020166,0.0,0.594392,6.255936,0.0
4.683908,-0.630193,0.0,0.0,0.0,-0.01615,0.99987,-0.013576,0.0,0.597662,6.285719,0.0
4.707885,-0.630754,0.0,0.0,0.0,-0.016802,0.999859,-0.013576,0.0,0.597662,6.285719,0.0
4.736687,-0.631429,0.0,0.0,0.0,-0.017584,0.999845,-0.010284,0.0,0.59652,6.298438,0.0
4.783085,-0.632579,0.0,0.0,0.0,-0.017654,0.999844,-0.010284,0.0,0.59652,6.298438,0.0
4.803283,-0.633147,0.0,0.0,0.0,-0.018102,0.999836,-0.006105,0.0,0.597429,6.313052,0.0
4.824821,-0.633752,0.0,0.0,0.0,-0.01858,0.999827,-0.006105,0.0,0.597429,6.313052,0.0
4.824821,-0.633752,0.0,0.0,0.0,-0.01858,0.999827,-0.002977,0.0,0.597587,6.328947,0.0
4.920168,-0.636086,0.0,0.0,0.0,-0.018909,0.999821,-0.002977,0.0,0.597587,6.328947,0.0
4.947079,-0.636977,0.0,0.0,0.0,-0.019369,0.999812,-0.001715,0.0,0.595752,6.341656,0.0
4.974462,-0.637884,0.0,0.0,0.0,-0.019838,0.999803,-0.001715,0.0,0.595752,6.341656,0.0
4.974462,-0.637884,0.0,0.0,0.0,-0.019838,0.999803,0.001858,0.0,0.597348,6.355769,0.0
5.023764,-0.639276,0.0,0.0,0.0,-0.019583,0.999808,0.001858,0.0,0.597348,6.355769,0.0
5.045588,-0.640057,0.0,0.0,0.0,-0.019854,0.999803,0.001858,0.0,0.597348,6.355769,0.0
5.061604,-0.64063,0.0,0.0,0.0,-0.020054,0.999799,0.001858,0.0,0.597348,6.355769,0.0
5.108374,-0.642303,0.0,0.0,0.0,-0.020635,0.999787,0.001858,0.0,0.597348,6.355769,0.0
5.109461,-0.642342,0.0,0.0,0.0,-0.020649,0.999787,0.0043,0.0,0.596376,6.371094,0.0
5.144682,-0.642926,0.0,0.0,0.0,-0.019412,0.999812,0.0043,0.0,0.596376,6.371094,0.0
5.191776,-0.64475,0.0,0.0,0.0,-0.019784,0.999804,0.006244,0.0,0.597038,6.379469,0.0
5.234238,-0.646394,0.0,0.0,0.0,-0.02012,0.999798,0.006244,0.0,0.597038,6.379469,0.0
5.300377,-0.649451,0.0,0.0,0.0,-0.019438,0.999811,0.005082,0.0,0.594568,6.385669,0.0
5.322471,-0.650315,0.0,0.0,0.0,-0.019517,0.99981,0.008488,0.0,0.596611,6.401003,0.0
5.362611,-0.651885,0.0,0.0,0.0,-0.01966,0.999807,0.008488,0.0,0.596611,6.401003,0.0
5.368549,-0.649819,0.0,0.0,0.0,-0.018674,0.999826,0.008488,0.0,0.596611,6.401003,0.0
